id;produto_id;DesPro;DesGru;PcoVen;PcoProm;QntProm;ativo;ordem;data_criacao;destaque
1080;1066;FEIJAO PRETO T1 COMBRASIL 1KG;MERCEARIA;7,99;0;0;0;1066;46156,94226;0
1134;1120;VINHO GALIOTTO TINTO SUAVE 1L;BEBIDAS;23,95;0;0;0;1120;46156,94226;0
1154;1140;GENEBRA ZORA DUBAR 960ML;BEBIDAS;24,85;0,99;0;1;1140;46156,94226;0
1155;1141;FOGO PAULISTA DUBAR 960ML;BEBIDAS;28,59;0,99;0;1;1141;46156,94226;0
1177;1163;GUARACRAC ORIGINAL 290ML;BEBIDAS;1,99;0;0;0;1163;46156,94226;0
1178;1164;GUARACRAC ACAICRAC 290ML;BEBIDAS;1,99;0;0;0;1164;46156,94226;0
1206;1192;BOLO KI BOLO 600G;PAES E CIA;7,99;0;0;0;1192;46156,94226;0
141;127;OLEO DE SOJA LIZA 900 ML;OLEOS E CIA;9,49;0,99;5;1;127;46156,94226;0
1529;1515;SABONETE PROTEX SUAVE 85G;HIGIENE PESSOAL;4,39;0;0;0;1515;46156,94226;0
1612;1598;PROTETOR DIARIO DIANA 15 UND;HIGIENE PESSOAL;4,45;0,99;5;1;1598;46156,94226;0
1656;1642;FRALDA LOOPING 20UND P;HIGIENE PESSOAL;13,99;0,99;0;0;1642;46156,94226;0
1755;1741;ALGODAO APOLO 25G;HIGIENE PESSOAL;4,99;0,99;5;1;1741;46156,94226;0
2047;2033;ERVA DOCE SABOR 10G;SABOR;3,69;0;0;0;2033;46156,94226;0
2050;2036;COENTRO PO SABOR 10G;SABOR;2,99;0;0;0;2036;46156,94226;0
218;204;PAO DE FORMA QPAO 450G;PAES E CIA;3,99;0;0;0;204;46156,94226;0
2055;2041;PAPRICA PICANTE SABOR 10G;SABOR;2,99;0;0;0;2041;46156,94226;0
2058;2044;SALSA DESIDRATADA SABOR 5G;SABOR;2,99;0;0;0;2044;46156,94226;0
219;205;ARROZ PAGLIARIN T1 5KG;MERCEARIA;33,99;0;0;0;205;46156,94226;0
2073;2059;TEMPERO EMPANA FRANGO SABOR 250G;SABOR;6,99;0,99;5;1;2059;46156,94226;0
2074;2060;TEMPERO EMPANA PEIXE SABOR 250G;SABOR;6,99;0,99;5;1;2060;46156,94226;0
